timestamp,transaction_count,unique_wallets,total_volume_usd,sample_wallets
2025-11-22 13:05:00+00:00,32,26,1512.3461944056262,"['EZwPn7Ku9ARNwiF8tnjDfwdCPLuHMYwYTn7Q5iK3MUaV', '8oEZCnZPpChz5iGLtn8eJJW7EPooBikY56TSV4QfwFU9', '8PbAgMN73p1FMaDLqNyoSPeyh5uUTVFDdK5XanufXSZo', 'EhiDCKZDwqJWp56CbGBwKi1MA6sh9szytjVbNL82PMzQ', '2yJTepLjtEhT1BJRRY3hHViBAPGrXnSNjDGMQmJFrgtP']"
2025-11-22 13:45:00+00:00,32,29,3089.8953209855563,"['8gUo3CWLssxqfP5bBB4avaX3vwPnMHC7dLbEf3DhPyQ9', 'Fdo47EPoxbFY8xCRVU7VTKWCdhTsXGt91qtKSVX7y1SR', '5NpnbQ3cRVgfGZqWX2j5hi9LphRn5gPN8b7kQEkgJHh4', '8rivnwsB14SR9RRrihruEdgLTgDjEELACaBNJRWv8JrA', 'Dcu8Mc1BiNmXhiTT4hKAWuj2aMD1cmuELtSZAVR76iDy']"
2025-11-22 14:05:00+00:00,30,24,8813.125974538785,"['EZwPn7Ku9ARNwiF8tnjDfwdCPLuHMYwYTn7Q5iK3MUaV', '5NpnbQ3cRVgfGZqWX2j5hi9LphRn5gPN8b7kQEkgJHh4', 'EhiDCKZDwqJWp56CbGBwKi1MA6sh9szytjVbNL82PMzQ', 'BiQPKsmgDnVaEn7YLmEJpCUDBP91ErbdCuzuAH1J8Npn', '2n6p2upCRrpAyE6T6KrLb5rJEdwGYfYMsoHwhkXpLCYJ']"
2025-11-22 14:50:00+00:00,30,25,4844.462263071948,"['2UPrqbdAsynHNeKtsQ4YxjuwbbXmgM5doYFwJLQTeswZ', 'EZwPn7Ku9ARNwiF8tnjDfwdCPLuHMYwYTn7Q5iK3MUaV', '2ZBPAgLJw7f37jt537gvYtRDGjrCswdA1gmqRuzMa6cL', '586F7ay2f8cmrasX2BS71gAEwkC88qdQvpki5jftgBUm', 'Fdo47EPoxbFY8xCRVU7VTKWCdhTsXGt91qtKSVX7y1SR']"
2025-11-22 12:20:00+00:00,29,27,7672.048012922179,"['EZwPn7Ku9ARNwiF8tnjDfwdCPLuHMYwYTn7Q5iK3MUaV', 'BckSupmAdrcQczyohr4jXjUBYfJ2ppPf2DTJQxibcCKS', '5EJDswvCMMfgiMG3Qn5vcsjYZQW8kVhCwrZ1eRzkRFuB', 'HFWD7yx8JG6dLD49up2Pjumubgp8ZTmrT2bn867Yo9ub', 'ETBWXADpb8BYVohaYowpSozpXwogJttz3dGisn1S11mX']"
2025-11-22 16:35:00+00:00,29,28,4029.2216656611286,"['8gUo3CWLssxqfP5bBB4avaX3vwPnMHC7dLbEf3DhPyQ9', '2Ap3yC1D5vw7sgrhmUZ1W1Jd99PZNVA8Dbqmw4u593Mq', 'EZwPn7Ku9ARNwiF8tnjDfwdCPLuHMYwYTn7Q5iK3MUaV', '86BV14GNPr54Jag8aXstbZ3mEXgUH2Bo6AjWeNN59yAY', 'CJomhM19MiDnyZjQuDEX19NT9a4zkrNLG9wtP9i9Puux']"
2025-11-22 12:40:00+00:00,29,27,3503.6343408054177,"['EZwPn7Ku9ARNwiF8tnjDfwdCPLuHMYwYTn7Q5iK3MUaV', '7G3WCkD7Mj4n5PJeDU8AchNR2g8EFzSemyYzKY1oAEKx', '2ZBPAgLJw7f37jt537gvYtRDGjrCswdA1gmqRuzMa6cL', 'Fdo47EPoxbFY8xCRVU7VTKWCdhTsXGt91qtKSVX7y1SR', 'FGJnhj6UPonNHGWCKBWhgXnaJjqUSn8j1TtLBYZNLy1u']"
2025-11-22 14:25:00+00:00,28,26,1567.0301207943203,"['2UPrqbdAsynHNeKtsQ4YxjuwbbXmgM5doYFwJLQTeswZ', '2Ap3yC1D5vw7sgrhmUZ1W1Jd99PZNVA8Dbqmw4u593Mq', '3ZZsQYPM186QxxcT6Rvq8HHc12voNhYzSzM6MCqprSie', 'EZwPn7Ku9ARNwiF8tnjDfwdCPLuHMYwYTn7Q5iK3MUaV', 'BVGyEp4mVHfx3KzdMUHRFxkrh5vG5nV5i9soMRjYL7rX']"
2025-11-22 16:40:00+00:00,28,23,37244.45175435507,"['2UPrqbdAsynHNeKtsQ4YxjuwbbXmgM5doYFwJLQTeswZ', '7VuFrPc4X4FzBygx8k32MHVqE3WvF5vz5m3U45ii3eyq', 'GiFS5USpZCDY54d9yETXaRVPPoaSaXVU4yE7tQ5AyGjP', '3VzoHtaGo5eaLXtkXL9Mbn8mpFfxKenpq1pwc3JT4Ktt', 'C2L6DdAtVQNcDw3KKGoyWTV3AfuYdUfPKZn21EEhKMkm']"
2025-11-22 15:05:00+00:00,28,22,2509.727778298034,"['91d9qFqJWNQKFoz7RbfyVp8c4DMjuiP2ZyRX1VNrBAXx', 'Gkg3L8K8nYCfcpnoTxya5MgQgLEJvSQtuzEiTpPd1dj7', 'EZwPn7Ku9ARNwiF8tnjDfwdCPLuHMYwYTn7Q5iK3MUaV', '7G3WCkD7Mj4n5PJeDU8AchNR2g8EFzSemyYzKY1oAEKx', '5EJDswvCMMfgiMG3Qn5vcsjYZQW8kVhCwrZ1eRzkRFuB']"
