transaction_hash,start_wallet,end_wallet,start_entity_type,end_entity_type,timestamp,block_number,usd_value,token_symbol,token_address,chain,hop_count,is_self_transfer
23vDHLfYV3QkxY2SWk8pdNXrFraFwoLhteJnKsVuYpW7tmPzVv8Jr3zjESMmUo2Z27F6brcBtnYn9fJH2mAYcjjK,3BUjhLw2Gaz3WR7hwb6357SZC7odnQrcDu9dWF8qFkdD,3BUjhLw2Gaz3WR7hwb6357SZC7odnQrcDu9dWF8qFkdD,,,2025-11-21 23:50:30+00:00,381648200,0.5041778263754,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,2,True
24Q7XrXRwCPP2ECnSyFhr8R4NS5RJwRaRZo37V8Vxg8j3Cc29TmUAVmmLenYi7qCRSEAvSJZLwDXzNB3np1tNZbN,772EuqFfAxXaqhDfgQsG5i1hibBwR1z8hrmW18gkt5MQ,772EuqFfAxXaqhDfgQsG5i1hibBwR1z8hrmW18gkt5MQ,,,2025-11-21 23:05:24+00:00,381641370,0.4110522757032,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,2,True
24cYYAUisHrmzn9Q9zSHKQATohhCL1fEBq6f5KPwdg2XYq5H2x9RuJFXVN5va1ba7itFJw1Lpwig5cgdWHJGLzTJ,CPWqAfzJzDPZza16BB22dceKCBktxYGyAxi1kSHjSPLx,CPWqAfzJzDPZza16BB22dceKCBktxYGyAxi1kSHjSPLx,,,2025-11-23 02:21:16+00:00,381889762,0.1018467015066,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,2,True
24sxTgHBpGbXMT6euaEaoPMsigJb1KUfvBpcLSMV1J3vt3wXPuTdpvNpPNhJc1k7zKg7iPTVtNDnk43eQgTvUJCc,CPWqAfzJzDPZza16BB22dceKCBktxYGyAxi1kSHjSPLx,CPWqAfzJzDPZza16BB22dceKCBktxYGyAxi1kSHjSPLx,,,2025-11-21 12:16:29+00:00,381543044,0.30907975644479996,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,2,True
25Ah1R9tjgzuufL59r6bCxLdTUbR8tjh7iygCf5Vy7X6qcbzu3zYWgM7AtYF5kk7woFey22LuM9Zx3kYTVvsMhv6,9QmPWSMAoyDi4j5Q27MmGzrz7njyxrXeoeB8FtFz9kAn,EWUW6WYFHqJGgR1H6PbCzZmh3b4U79MBEQKYZPx1SnJw,,,2025-11-22 18:42:56+00:00,381820083,24.6017777753176,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,2,False
25F7sSagvH2FJEsgAUmwQedALqoh8Qxw3MsBmAmPV6gHsGL5Cp81u1gzvtrCadzAVopAJF7f4yDVwraG7xK5qEih,5x1LfJ4MqyrSPKLEVT9qogpofhTpmNyhhaRQMBASYBab,5x1LfJ4MqyrSPKLEVT9qogpofhTpmNyhhaRQMBASYBab,,,2025-11-20 17:16:07+00:00,381370480,2629.7284912801124,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,3,True
25bGXEiYpwNJbBepDqT2ZxUj3ryTejpNcFmnFPHdEFyyXh1N7dbMbkCDvW8uYLfS8rkbJUEFLKBj73mA8WbkipQR,CPWqAfzJzDPZza16BB22dceKCBktxYGyAxi1kSHjSPLx,CPWqAfzJzDPZza16BB22dceKCBktxYGyAxi1kSHjSPLx,,,2025-11-23 15:57:18+00:00,382013823,0.46700365659360005,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,2,True
264XZtFt6G96qJUF6SsBm1uekTrbxbdeJWqUtvgsRSQosW7X4eHFW2DFhKRBzHFrkR6eKhHtQCNSAtU5892WEkcR,91QtB9XPu3Yhz8ZydNisakHaSyowdnocsQnx34QV5Rcu,7Ew4wAAywd6Udx6S2sMPTWkU3B3UGhmGmqFHc32z5kJr,,,2025-11-21 10:18:15+00:00,381525152,22.9234728368448,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,1,False
268y48xLLvgBMPTJsznqkUsmC7FvgzVbh6NJE7x2HB3k596zjYzmVxMr9fWW5R6mrSqg3nRjvBZFPEBM1KyPPmRM,B3euHgqCvdoEgrqhJcvD7aRzVzJEiwVJJdipmm8BBWaV,AhR2gTxbKpouGEzTJ86Cki2z2qSDe9p7to8jxYCAWsfZ,,dex-aggregator,2025-11-22 10:42:49+00:00,381747294,324.4577628131658,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,3,False
26CXFcgEZdSMLmcWetLDaxq8urFqo1aheNs9by1A1JPui1TwjHjBusHGHKfYi2Rqjkd7UjKBJtqk8hewX8psBSyB,CCcM4XTNsdS5R2D7meMX8kaPzWLCuHK7F9SHG8ZXe7ty,CCcM4XTNsdS5R2D7meMX8kaPzWLCuHK7F9SHG8ZXe7ty,,,2025-11-23 02:53:09+00:00,381894617,0.2433867071148,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,2,True
